[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75196 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_232746.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75204 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260515_234748.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75204 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_000750.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75204 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_002752.jsonl
[2026-06-19T12:50:47Z] deleted kind=carousell-snapshot kb=75200 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_004754.jsonl
[2026-06-19T12:50:48Z] deleted kind=carousell-snapshot kb=75204 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_010756.jsonl
[2026-06-19T12:50:48Z] deleted kind=carousell-snapshot kb=75200 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_012758.jsonl
[2026-06-19T12:50:48Z] deleted kind=carousell-snapshot kb=75196 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_014801.jsonl
[2026-06-19T12:50:48Z] deleted kind=carousell-snapshot kb=75200 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/carousell-sg/products_20260516_020803.jsonl
[2026-06-19T12:50:48Z] disk-monitor-dirs total=3 keep=2
[2026-06-19T12:50:48Z] deleted kind=disk-monitor-dir kb=20 path=/paperclip/instances/default/workspaces/476c8023-3635-45bb-9f71-db6f4f5700e1/buywhere-api/data/buy-48198-disk-monitor-2026-06-19T123019Z
[2026-06-19T12:50:48Z] summary removed=37 reclaimed_kb=2168620 report=reports/BUY-53569-safe-data-cleanup-report.txt
