loser_id	keep_id	merchant_id	sku	url	url_key	loser_source	canonical_source
503803847	7111608890	shopify_condorcycles_com	condorcycles.com:15261295870336	https://condorcycles.com/products/brompton-busch-muller-rear-light-for-electric-g-line	condorcycles.com/products/brompton-busch-muller-rear-light-for-electric-g-line	shopify	shopify_buy30620_crate
503803457	7111608735	shopify_condorcycles_com	condorcycles.com:15365599265152	https://condorcycles.com/products/dynaplug-plug-pack-3-x-soft-nose-and-2-x-mega-plugs	condorcycles.com/products/dynaplug-plug-pack-3-x-soft-nose-and-2-x-mega-plugs	shopify	shopify_buy30620_crate
503803523	7111608763	shopify_condorcycles_com	condorcycles.com:15350935748992	https://condorcycles.com/products/muc-off-airmach-carbon-pump	condorcycles.com/products/muc-off-airmach-carbon-pump	shopify	shopify_buy30620_crate
503803678	7111608832	shopify_condorcycles_com	condorcycles.com:15303457636736	https://condorcycles.com/products/ortlieb-back-roller-plus-ql2-2	condorcycles.com/products/ortlieb-back-roller-plus-ql2-2	shopify	shopify_buy30620_crate
503827580	811337889	shopify_constructiveplaythings_com	constructiveplaythings.com:10074152435997	https://constructiveplaythings.com/products/aiming-tossing-board-game-with-beanbags	constructiveplaythings.com/products/aiming-tossing-board-game-with-beanbags	shopify	shopify_buy30620_crate
503828097	811339195	shopify_constructiveplaythings_com	constructiveplaythings.com:8442223198493	https://constructiveplaythings.com/products/inside-outside-wooden-shapes	constructiveplaythings.com/products/inside-outside-wooden-shapes	shopify	shopify_buy30620_crate
109302684	811340346	shopify_consuelastyle_com	consuelastyle.com:7922414780470	https://consuelastyle.com/products/paw-print-charm	consuelastyle.com/products/paw-print-charm	shopify	shopify_buy30620_crate
255634270	736169471	shopify_control_parts_myshopify_com	control-parts.myshopify.com:7007908692065	https://control-parts.myshopify.com/products/cs7-pv-04	control-parts.myshopify.com/products/cs7-pv-04	shopify	shopify_buy30620_crate
255634133	736169437	shopify_control_parts_myshopify_com	control-parts.myshopify.com:7021675708513	https://control-parts.myshopify.com/products/xtre10b31a	control-parts.myshopify.com/products/xtre10b31a	shopify	shopify_buy30620_crate
503914941	510786042	shopify_coolhockey_com	coolhockey.com:7678028546255	https://coolhockey.com/products/juuso-parssinen-new-york-rangers-fanatics-premium-away-jersey	coolhockey.com/products/juuso-parssinen-new-york-rangers-fanatics-premium-away-jersey	shopify	shopify_buy30620_crate
503914942	510786044	shopify_coolhockey_com	coolhockey.com:7678028513487	https://coolhockey.com/products/juuso-parssinen-new-york-rangers-fanatics-premium-home-jersey	coolhockey.com/products/juuso-parssinen-new-york-rangers-fanatics-premium-home-jersey	shopify	shopify_buy30620_crate
503914940	510786040	shopify_coolhockey_com	coolhockey.com:7678028579023	https://coolhockey.com/products/matt-rempe-new-york-rangers-fanatics-premium-home-jersey	coolhockey.com/products/matt-rempe-new-york-rangers-fanatics-premium-home-jersey	shopify	shopify_buy30620_crate
503916093	510787206	shopify_coolhorse_com	coolhorse.com:8737710670106	https://coolhorse.com/products/68-7086-10-0	coolhorse.com/products/68-7086-10-0	shopify	shopify_buy30620_crate
503968289	874293674	shopify_corbloomjewelry_com	corbloomjewelry.com:7609279610970	https://corbloomjewelry.com/products/titanium-holly-duo-marquise-chain-attachment-helix-dangling-chain	corbloomjewelry.com/products/titanium-holly-duo-marquise-chain-attachment-helix-dangling-chain	shopify	shopify_buy30620_crate
184837348	257430355	shopify_coremedia_co_id	coremedia.co.id:7262012014798	https://coremedia.co.id/products/prompter-people-proline-plus-19-teleprompter	coremedia.co.id/products/prompter-people-proline-plus-19-teleprompter	shopify	shopify_buy30620_crate
69810255	2430244398	shopify_costumesupercenter_com	costumesupercenter.com:9226880975010	https://costumesupercenter.com/products/girls-wonder-woman-sequin-costume	costumesupercenter.com/products/girls-wonder-woman-sequin-costume	shopify	shopify_buy30620_crate
187231758	154395523	shopify_coverchord_com	coverchord.com:8256333283519	https://coverchord.com/products/vbr-op4409	coverchord.com/products/vbr-op4409	shopify	shopify_buy30620_crate
109151190	737296141	shopify_coverking_com	coverking.com:9229181288610	https://coverking.com/products/2026-alfa-romeo-giulia-custom-foldable-sun-shades-cover	coverking.com/products/2026-alfa-romeo-giulia-custom-foldable-sun-shades-cover	shopify	shopify_buy30620_crate
109151178	737296134	shopify_coverking_com	coverking.com:9229181517986	https://coverking.com/products/2026-audi-q4-e-tron-custom-foldable-sun-shades-cover	coverking.com/products/2026-audi-q4-e-tron-custom-foldable-sun-shades-cover	shopify	shopify_buy30620_crate
109151180	737296135	shopify_coverking_com	coverking.com:9229181485218	https://coverking.com/products/2026-bmw-ix-custom-foldable-sun-shades-cover	coverking.com/products/2026-bmw-ix-custom-foldable-sun-shades-cover	shopify	shopify_buy30620_crate
109151195	737296144	shopify_coverking_com	coverking.com:9229181190306	https://coverking.com/products/2026-dodge-hornet-dash-cover	coverking.com/products/2026-dodge-hornet-dash-cover	shopify	shopify_buy30620_crate
109151187	737296139	shopify_coverking_com	coverking.com:9229181354146	https://coverking.com/products/2026-hyundai-ioniq-6-dash-cover	coverking.com/products/2026-hyundai-ioniq-6-dash-cover	shopify	shopify_buy30620_crate
109151194	737296143	shopify_coverking_com	coverking.com:9229181223074	https://coverking.com/products/2026-hyundai-ioniq-9-floor-mats	coverking.com/products/2026-hyundai-ioniq-9-floor-mats	shopify	shopify_buy30620_crate
109151189	737296140	shopify_coverking_com	coverking.com:9229181321378	https://coverking.com/products/2026-hyundai-palisade-custom-foldable-sun-shades-cover	coverking.com/products/2026-hyundai-palisade-custom-foldable-sun-shades-cover	shopify	shopify_buy30620_crate
109151192	737296142	shopify_coverking_com	coverking.com:9229181255842	https://coverking.com/products/2026-mercedes-benz-s500-custom-foldable-sun-shades-cover	coverking.com/products/2026-mercedes-benz-s500-custom-foldable-sun-shades-cover	shopify	shopify_buy30620_crate
109151182	737296136	shopify_coverking_com	coverking.com:9229181452450	https://coverking.com/products/2026-mercedes-benz-s63-amg-e-performance-custom-foldable-sun-shades-cover	coverking.com/products/2026-mercedes-benz-s63-amg-e-performance-custom-foldable-sun-shades-cover	shopify	shopify_buy30620_crate
